molecule_ID,cleaned_smiles
1,Brc1ccc(CN[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)s1
2,Brc1ccc(Nc2ncnc3ccccc23)cc1
3,Brc1cccc(-c2nnc(/C=C/c3ccc(Br)s3)o2)c1
4,C#C/C=C(\c1ccc(F)cc1)c1ccc2nc(N)n(S(=O)(=O)C(C)C)c2c1
5,C#CC(C)(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1
6,C#CC(C)(CC)NC(=O)c1cccc(-c2cc3c(C(=O)NC)c(-c4ccc(F)cc4)oc3cc2N(CCCF)S(C)(=O)=O)c1
7,C#CC(C)OC(=O)C(NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1)C(C)C
8,C#CC(C)OC(=O)CNP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1
9,C#CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1
10,C#CC(CC)(CC)NC(=O)c1cccc(-c2cc3c(C(=O)NC)c(-c4ccc(F)cc4)oc3cc2N(CCCF)S(C)(=O)=O)c1
11,C#CCC/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
12,C#CCCC(NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)N[C@H](C(=O)C1CC1)C1CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1
13,C#CCCC(NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)N[C@H](C(=O)C1CC1)C1CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NCC=C
14,C#CCCC(NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)N[C@H](COC(=O)NCC(C)C)C(C)(C)C)C1(C)CCCCC1)C2(C)C)C(=O)C(=O)NCC=C
15,C#CCCC(NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)N[C@H](COC(=O)NCC)C(C)(C)C)C1(C)CCCCC1)C2(C)C)C(=O)C(=O)NCC=C
16,C#CCCC(NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)N[C@H](COC(=O)NCC1CC1)C(C)(C)C)C1(C)CCCCC1)C2(C)C)C(=O)C(=O)NCC=C
17,C#CCCCC(=O)NCCOCCOCCOc1ccc(C(=O)c2ccc(/C=C/C(=O)NO)cc2)cc1
18,C#CCCCCC(COc1cccc(F)c1-c1ccc2c(c1)c(CN(C)C)nn2C)c1c(C)nn(C)c1C
19,C#CCCCOc1c2c(c(-c3ccc4c(c3)OCO4)c3cc(OC)c(OC)cc13)C(=O)OC2
20,C#CCCCOc1ccc(C[C@H](NC(=O)[C@@H](/C=C/CCCCCCC(=O)CCCCCCC)[C@@](O)(CC(=O)O)C(=O)O)C(=O)O)cc1
21,C#CCCSc1nnc2c(n1)C(C)(C)[C@@H]1CC[C@]3(C)[C@H](CC[C@@H]4[C@H]5[C@H](C(=C)C)CC[C@]5(C(=O)O)CC[C@]43C)[C@@]1(C)C2
22,C#CCN1C=C2C(=O)[C@@](C)(OC(C)=O)C(=O)C(Cl)=C2C=C1/C=C/C(C)=C/[C@@H](C)CC
23,C#CCNC(=O)C(=O)c1c(C)c(C(=O)Nc2ccc(F)c(F)c2)n(C)c1C
24,C#CCOC(=O)C(NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1)C(C)C
25,C#CCOC(=O)CNP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1
26,C#CCOC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1
27,C#CCOc1cc2c(cc1OCC#C)-c1cccc(CC)c1N(C)C2
28,C#CCSc1nnc(-c2ccc(C)cc2)c2ccccc12
29,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O
30,C#CC[C@@H](NC(=O)OC)C(=O)N1CCC[C@H]1c1nc2ccc(-c3ccc(-c4ccc5nc([C@@H]6CCCN6C(=O)[C@@H](CC#C)NC(=O)OC)[nH]c5c4)s3)cc2[nH]1
31,C#CC[C@H](NC(=O)OC)C(=O)N1CCC[C@H]1c1ncc(-c2ccc3c(c2)C(C)(C)c2ccc(-c4ccc5nc([C@@H]6CCCN6C(=O)[C@H](CC#C)NC(=O)OC)[nH]c5c4)cc2O3)[nH]1
32,C#CCn1c(C)c(-c2ccccc2)c(-c2ccc(Cl)cc2)c(C#N)c1=O
